Modell,Accuracy,F1-Macro,Log Loss
Dummy,0.3613553506326399,0.32661064314842886,10.293735581611385
LogReg+SMOTE,0.5554364143255415,0.5216799078884664,0.9066551711697028
Random Forest,0.5876045464293373,0.5099789356009649,0.8906702228162346
XGB+SMOTE,0.5957538065622989,0.48510713654593035,0.8841062644791979
XGB+Weights,0.5640145828865537,0.5166492934145511,0.9122277451043935
